"RowNumber","Institution Name","Main Office","Branch Name","Branch Number","Established Date","Acquired Date","Street Address","City","County","State","Zipcode","Latitude","Longitude","2010 Deposits","2011 Deposits","2012 Deposits","2013 Deposits","2014 Deposits","2015 Deposits","2016 Deposits"
"2848","JPMorgan Chase Bank","0","Steeplechase Branch","6404","2005-02-17","2008-09-25","9344 Jones Rd","Houston","Harris","TX","77065","29.908349999999999","-95.584469999999996","22142","25750","34515","44781","51424","56156","59196"
"2849","JPMorgan Chase Bank","0","Beltway 8/Beechnut Branch","6405","2005-07-11","2008-09-25","8140 West Sam Houston Pkwy","Houston","Harris","TX","77072","29.691210000000002","-95.55762","34984","34721","33971","35049","38711","45161","49761"
"2850","JPMorgan Chase Bank","0","Washington and Shepherd Branch","6407","2005-12-12","2008-09-25","4720 Washington Ave","Houston","Harris","TX","77007","29.77047","-95.40916","16244","22827","29379","34226","40468","41423","51333"
"2851","JPMorgan Chase Bank","0","Old Spanish Trail Branch","6408","2005-07-11","2008-09-25","3636 Old Spanish Trail","Houston","Harris","TX","77021","29.702110000000001","-95.361739999999998","12141","13257","14814","18973","20976","25325","28708"
"2852","JPMorgan Chase Bank","0","LA Porte Branch","6410","2004-02-17","2008-09-25","1414 W Fairmont Parkway","LA Porte","Harris","TX","77571","29.652290000000001","-95.033169999999998","13109","11561","13402","15776","17701","18853","20503"
"2853","JPMorgan Chase Bank","0","Louetta and Kuykendahl Branch","6411","2003-10-06","2008-09-25","4751 Louetta Rd","Spring","Harris","TX","77388","30.04157","-95.486339999999998","19671","21783","23790","27392","29029","29687","35610"
"2854","JPMorgan Chase Bank","0","Cypresswood Branch","6414","2004-01-05","2008-09-25","19507 Interstate 45 N","Spring","Harris","TX","77388","30.05002","-95.431659999999994","19694","20976","25986","28912","33761","40364","47479"
"2855","JPMorgan Chase Bank","0","Treaschwig Branch","6415","2003-12-08","2008-09-25","5639 Treaschwig Rd","Spring","Harris","TX","77373","30.044720000000002","-95.3476","15101","16623","18802","19948","22605","26005","29153"
"2856","JPMorgan Chase Bank","0","Northbrook Branch","6420","2002-07-01","2008-09-25","5240 W 34th St","Houston","Harris","TX","77092","29.81962","-95.466620000000006","47786","46742","47917","51997","55171","57601","63576"
"2857","JPMorgan Chase Bank","0","South Kempwood Dr Branch","6421","2002-07-01","2008-09-25","10243 S Kempwood Dr","Houston","Harris","TX","77043","29.82272","-95.546980000000005","37727","41533","50013","53384","64897","70588","71072"
"2858","JPMorgan Chase Bank","0","Burleson","6427","2006-04-17","2008-09-25","155 NW John Jones","Burleson","Johnson","TX","76028","32.521259999999998","-97.34863","11515","14285","20592","23899","29909","36962","44061"
"2859","JPMorgan Chase Bank","0","North Collins Branch","6432","2003-12-08","2008-09-25","2111 N Collins St","Arlington","Tarrant","TX","76011","32.76755","-97.097049999999996","16227","17526","20783","23850","27049","31204","41197"
"2860","JPMorgan Chase Bank","0","Arkansas Lane Branch","6433","2003-12-15","2008-09-25","2535 Arkansas Ln","Arlington","Tarrant","TX","76010","32.706229999999998","-97.065550000000002","14621","22711","30988","36815","43889","52939","48173"
"2861","JPMorgan Chase Bank","0","Camp Bowie W and Normandale Branch","6436","2004-02-17","2008-09-25","9112 Camp Bowie W","Fort Worth","Tarrant","TX","76116","32.724629999999998","-97.476680000000002","9415","10125","10219","10908","13014","16277","16238"
"2862","JPMorgan Chase Bank","0","South Mansfield Branch","6439","2005-08-15","2008-09-25","111 W Debbie Ln","Mansfield","Tarrant","TX","76063","32.592309999999998","-97.145319999999998","18638","16569","18741","20341","24160","27580","30087"
"2863","JPMorgan Chase Bank","0","Saginaw Branch","6441","2006-06-12","2008-09-25","1429 N Saginaw Blvd","Saginaw","Tarrant","TX","76179","32.884010000000004","-97.38467","11979","15890","22208","28486","34383","42692","51035"
"2864","JPMorgan Chase Bank","0","Parmer Mcneil Branch","6446","2006-03-13","2008-09-25","6301 W Parmer Ln","Austin","Travis","TX","78729","30.445689999999999","-97.743530000000007","8854","9922","12477","22093","22763","27518","32173"
"2865","JPMorgan Chase Bank","0","Greenlawn and Hwy 45 Branch","6460","2002-05-06","2008-09-25","3207 Greenlawn Blvd","Round Rock","Williamson","TX","78664","30.480509999999999","-97.660430000000005","15188","13747","16367","16685","17474","20433","24412"
"2866","JPMorgan Chase Bank","0","Riverfront Plaza Branch","6462","2005-12-19","2008-09-25","500 S. River Street","Hackensack","Bergen","NJ","7601","40.86307","-74.03595","23274","24530","24089","33152","35105","37475","44730"
"2867","JPMorgan Chase Bank","0","Paramus Branch","6466","2002-01-04","2008-09-25","312 Forest Avenue","Paramus","Bergen","NJ","7652","40.936709999999998","-74.051190000000005","57537","55092","55880","60519","61916","64455","73949"
"2868","JPMorgan Chase Bank","0","New Milford - River Road Branch","6470","2003-08-04","2008-09-25","830 River Road","New Milford","Bergen","NJ","7646","40.926470000000002","-74.026399999999995","31304","32336","31516","35650","38283","43018","48231"
"2869","JPMorgan Chase Bank","0","South Orange Branch","6475","2004-12-13","2008-09-25","18 S. Orange Avenue","South Orange","Essex","NJ","7079","40.746110000000002","-74.259050000000002","18360","19203","26936","31455","35641","40917","51278"
"2870","JPMorgan Chase Bank","0","Newark - Broad & Fulton Branch","6479","2005-06-27","2008-09-25","570 Broad Street","Newark","Essex","NJ","7102","40.742190000000001","-74.169120000000007","45921","53185","40051","34301","29637","32693","36027"
"2871","JPMorgan Chase Bank","0","Orange - Main Street Branch","6481","2003-09-08","2008-09-25","300 Main Street","Orange","Essex","NJ","7050","40.772170000000003","-74.229730000000004","8905","10048","12579","15676","17461","19039","22630"
"2872","JPMorgan Chase Bank","0","Bergenline Branch","6485","2005-06-27","2008-09-25","4921 Bergenline Avenue","West New York","Hudson","NJ","7093","40.782679999999999","-74.021010000000004","22134","26171","31476","35891","40965","47931","53359"
"2873","JPMorgan Chase Bank","0","Flemington Circle Branch","6486","2004-05-17","2008-09-25","75 Reaville Avenue, Suite 2","Flemington","Hunterdon","NJ","8822","40.49935","-74.853549999999998","23172","28310","29592","37152","37000","39037","50128"
"2874","JPMorgan Chase Bank","0","George St and Church Branch","6487","2005-07-01","2008-09-25","390 George Street","New Brunswick","Middlesex","NJ","8901","40.496040000000001","-74.444159999999997","7065","8093","13013","14924","21086","29547","41426"
"2875","JPMorgan Chase Bank","0","Jefferson Township Branch","6492","2003-11-03","2008-09-25","5742 Berkshire Valley Road","Oak Ridge","Morris","NJ","7438","41.037570000000002","-74.504630000000006","17115","19008","21303","22752","23155","23813","26383"
"2876","JPMorgan Chase Bank","0","Lakewood Plaza Branch","6494","2005-09-19","2008-09-25","1700 Madison Avenue","Lakewood","Ocean","NJ","8701","40.108379999999997","-74.219359999999995","11534","12415","16623","23126","58141","63906","81248"
"2877","JPMorgan Chase Bank","0","Passaic - Main Avenue Branch","6498","2005-12-19","2008-09-25","620 Main Avenue","Passaic","Passaic","NJ","7055","40.860050000000001","-74.124989999999997","11261","14041","17772","21083","23743","26291","28992"
"2878","JPMorgan Chase Bank","0","Somerville Branch","6499","2003-08-04","2008-09-25","6 South Davenport Street","Somerville","Somerset","NJ","8876","40.569830000000003","-74.615719999999996","16521","20728","26551","34402","40946","46024","61344"
"2879","JPMorgan Chase Bank","0","Chase Center Seattle Branch","6502","2007-07-01","2008-09-25","1301 2nd Ave, Ste 100","Seattle","King","WA","98101","47.607289999999999","-122.3372","25458","169053","261200","1004800","1277143","1466676","1580901"
"2880","JPMorgan Chase Bank","0","South Lake Union Branch","6503","2008-05-12","2008-09-25","350 Westlake Ave N","Seattle","King","WA","98109","47.621470000000002","-122.33839","17859","20887","24962","29387","41628","53166","66357"
"2881","JPMorgan Chase Bank","0","Park North Branch","6504","2007-11-19","2008-09-25","510 NW Loop 410","San Antonio","Bexar","TX","78216","29.520099999999999","-98.503529999999998","4507","6197","8606","15807","17668","27294","28960"
"2882","JPMorgan Chase Bank","0","Baseline and Boulder Branch","6509","2006-07-10","2008-09-25","7195 Boulder Avenue","Highland","San Bernardino","CA","92346","34.125030000000002","-117.19543","19374","23293","26564","28966","33219","38892","62253"
"2883","JPMorgan Chase Bank","0","Broadway and 7th Branch","6510","2006-07-17","2008-09-25","707 Broadway, Suite 1","San Diego","San Diego","CA","92101","32.71564","-117.158","9642","11107","15557","19250","23430","27916","37923"
"2884","JPMorgan Chase Bank","0","Southern Blvd Branch","6511","2006-07-24","2008-09-25","1051 Westchester Avenue","Bronx","Bronx","NY","10459","40.82452","-73.892340000000004","9943","14406","16316","19037","22228","26071","29974"
"2885","JPMorgan Chase Bank","0","Riverpark Branch","6512","2006-08-07","2008-09-25","7892 North Blackstone Avenue","Fresno","Fresno","CA","93720","36.849220000000003","-119.79062999999999","16823","22912","28289","35171","43340","63059","82216"
"2886","JPMorgan Chase Bank","0","Elk Grove Branch","6513","2006-08-07","2008-09-25","5010 Elk Grove Boulevard, Suite 180","Elk Grove","Sacramento","CA","95758","38.408580000000001","-121.44579","21489","26464","35048","39848","46823","52532","62720"
"2887","JPMorgan Chase Bank","0","Buhre Avenue Branch","6521","2006-08-28","2008-09-25","3008 Buhre Avenue","Bronx","Bronx","NY","10461","40.847230000000003","-73.831429999999997","12781","15274","17618","22959","27075","33954","37013"
"2888","JPMorgan Chase Bank","0","Third Avenue and 106th St Branch","6522","2006-08-28","2008-09-25","1924 Third Avenue","New York City","New York","NY","10029","40.791710000000002","-73.944580000000002","8870","12174","15663","19497","23554","25565","30215"
"2889","JPMorgan Chase Bank","0","Mulpitas Branch","6523","2006-09-05","2008-09-25","37 North Milpitas Boulevard","Milpitas","Santa Clara","CA","95035","37.433790000000002","-121.90037","43072","49826","71006","86407","101077","113523","142966"
"2890","JPMorgan Chase Bank","0","West Alameda Ave Branch","6526","2006-09-18","2008-09-25","1030 West Alameda Avenue, Suite D-13","Burbank","Los Angeles","CA","91506","34.163069999999998","-118.31346000000001","44674","51127","59924","66482","77193","82926","90328"
"2891","JPMorgan Chase Bank","0","Turner Parkway Branch","6531","2006-10-02","2008-09-25","972a Admiral Callaghan Lane","Vallejo","Solano","CA","94591","38.130459999999999","-122.22502","21540","25046","30521","36460","41624","54176","61919"
"2892","JPMorgan Chase Bank","0","Chinatown Center Branch","6532","2006-10-02","2008-09-25","10901 North Lamar Boulevard, Suite B-1","Austin","Travis","TX","78753","30.37848","-97.688329999999993","11842","13839","19031","21303","26382","31935","40385"
"2893","JPMorgan Chase Bank","0","West Bay Branch","6533","2006-10-09","2008-09-25","821 West Bay Dr","Largo","Pinellas","FL","33770","27.91676","-82.798739999999995","19552","23041","32017","34337","46796","44425","56684"
"2894","JPMorgan Chase Bank","0","Silver Creek Branch","6534","2006-10-10","2008-09-25","1705 East Capitol Expressway, Suite 30","San Jose","Santa Clara","CA","95121","37.307639999999999","-121.81053","26762","35758","51964","66611","79397","108061","128155"
"2895","JPMorgan Chase Bank","0","South Sanford Branch","6536","2006-10-16","2008-09-25","3764 South Orlando Drive","Sanford","Seminole","FL","32773","28.75958","-81.285939999999997","7599","8921","11701","13661","15115","17911","20808"
"2896","JPMorgan Chase Bank","0","Bell Gardens Branch","6537","2006-10-16","2008-09-25","7220 Eastern Avenue, Suite A","Bell Gardens","Los Angeles","CA","90201","33.966999999999999","-118.16477","15562","17081","21487","24043","27390","34832","41637"
"2897","JPMorgan Chase Bank","0","73rd Avenue Branch","6538","2006-10-16","2008-09-25","15617 73rd Avenue","Flushing","Queens","NY","11367","40.727159999999998","-73.811260000000004","19751","22289","26928","36316","47154","49121","53928"
"2898","JPMorgan Chase Bank","0","Hillcroft Branch","6539","2006-10-16","2008-09-25","6015 Hillcroft Street, Suite 400","Houston","Harris","TX","77081","29.715800000000002","-95.497910000000005","7083","8970","12652","16081","21261","24381","29672"
"2899","JPMorgan Chase Bank","0","South Dobson Rd and Main Branch","6541","2006-10-23","2008-09-25","28 South Dobson Road, Suite 101","Mesa","Maricopa","AZ","85202","33.414279999999998","-111.87461999999999","3018","6140","7508","10890","12860","15415","23127"
"2900","JPMorgan Chase Bank","0","Stapley and Mckellips Branch","6542","2006-10-30","2008-09-25","1863 North Stapley Drive, Suite 104","Mesa","Maricopa","AZ","85203","33.449240000000003","-111.80488","16292","16539","20155","24115","25649","29326","33854"
"2901","JPMorgan Chase Bank","0","Linden Branch","6543","2006-10-30","2008-09-25","18839 Linden Boulevard","Saint Albans","Queens","NY","11412","40.69171","-73.762420000000006","7560","8986","9898","11818","14596","16405","18899"
"2902","JPMorgan Chase Bank","0","Southbay Pavilion Branch","6544","2006-10-30","2008-09-25","20710 Avalon Boulevard","Carson","Los Angeles","CA","90746","33.843859999999999","-118.26322","26857","34681","43444","52840","55838","68993","77794"
"2903","JPMorgan Chase Bank","0","Malverne Branch","6545","2006-07-31","2008-09-25","368 Hempstead Avenue","Malverne","Nassau","NY","11565","40.677869999999999","-73.667370000000005","29599","32840","34331","44234","55260","56014","62878"
"2904","JPMorgan Chase Bank","0","Eastern Parkway Branch","6547","2006-11-13","2008-09-25","391 Eastern Parkway","Brooklyn","Kings","NY","11216","40.670340000000003","-73.955439999999996","10367","13183","17158","20943","25212","36641","40580"
"2905","JPMorgan Chase Bank","0","Coney Island Branch","6548","2006-11-13","2008-09-25","2500 Coney Island Avenue","Brooklyn","Kings","NY","11223","40.595889999999997","-73.96114","22708","26634","26069","32142","38932","41842","53053"
"2906","JPMorgan Chase Bank","0","LA Gran Branch","6549","2006-11-13","2008-09-25","4200 Southwest Freeway (I-35w), Suite 1","Fort Worth","Tarrant","TX","76115","32.676209999999998","-97.330590000000001","5564","7970","12519","15041","17943","23057","26910"
"2907","JPMorgan Chase Bank","0","West Harlem Branch","6551","2006-11-13","2008-09-25","350 West 125th Street","New York City","New York","NY","10027","40.810899999999997","-73.9529","19187","21509","24231","27627","29431","34214","39104"
"2908","JPMorgan Chase Bank","0","East Tremont Branch","6553","2006-11-13","2008-09-25","695 East Tremont Avenue","Bronx","Bronx","NY","10457","40.84554","-73.891249999999999","9852","10063","12480","13305","14787","15919","16581"
"2909","JPMorgan Chase Bank","0","White Plains Branch","6554","2006-11-13","2008-09-25","3514 White Plains Road","Bronx","Bronx","NY","10467","40.877659999999999","-73.866290000000006","18143","18641","18964","20038","19681","22058","24549"
"2910","JPMorgan Chase Bank","0","Hoboken 14th St and Garden Branch","6555","2006-11-20","2008-09-25","200 14th Street","Hoboken","Hudson","NJ","7030","40.753639999999997","-74.028400000000005","15106","17969","33769","27874","85210","86723","111318"
"2911","JPMorgan Chase Bank","0","Kirkland Branch","6557","2006-11-20","2008-09-25","215 Kirkland Avenue","Kirkland","King","WA","98033","47.675469999999997","-122.20484999999999","19974","22600","29213","32125","45570","48622","49053"
"2912","JPMorgan Chase Bank","0","West El Camino Real & Showers Branch","6559","2006-11-20","2008-09-25","2510 West El Camino Real, Suite-1","Mountain View","Santa Clara","CA","94040","37.399650000000001","-122.11042","32888","43089","54042","81932","85445","95383","113807"
"2913","JPMorgan Chase Bank","0","Winter Haven Branch","6562","2006-12-11","2008-09-25","1350 6th Street, NW","Winter Haven","Polk","FL","33881","28.03445","-81.732889999999998","15545","18690","20765","23202","25867","27814","32310"
"2914","JPMorgan Chase Bank","0","Pompano Citi Centre Branch","6565","2006-12-12","2008-09-25","2285 North Federal Highway","Pompano Beach","Broward","FL","33062","26.258559999999999","-80.099959999999996","19022","27226","40422","47066","61239","59861","64942"
"2915","JPMorgan Chase Bank","0","Milliken Ave and Foothill Branch","6567","2006-12-18","2008-09-25","8108 Milliken Avenue","Rancho Cucamonga","San Bernardino","CA","91730","34.106209999999997","-117.55717","44932","52543","63854","76036","88120","105244","125937"
"2916","JPMorgan Chase Bank","0","Englewood Plaza Branch","6569","2006-12-18","2008-09-25","6940a South Ashland Avenue","Chicago","Cook","IL","60636","41.767780000000002","-87.664050000000003","1487","2609","3192","3442","4397","5633","6141"
"2917","JPMorgan Chase Bank","0","South Main Branch","6570","2006-12-18","2008-09-25","8330 South Main Street, Suite 100","Houston","Harris","TX","77025","29.692019999999999","-95.416489999999996","11033","16297","20504","24855","38025","49681","57822"
"2918","JPMorgan Chase Bank","0","Alondra Branch","6571","2006-12-18","2008-09-25","9054 Alondra Boulevard","Bellflower","Los Angeles","CA","90706","33.889220000000002","-118.14113","14481","15877","19422","23018","26974","32129","38909"
"2919","JPMorgan Chase Bank","0","Bellaire and Synott Branch","6574","2006-12-18","2008-09-25","13070 Bellaire Blvd","Houston","Harris","TX","77072","29.703589999999998","-95.612669999999994","15713","20606","25974","31676","41351","49482","54897"
"2920","JPMorgan Chase Bank","0","Sunny Side Branch","6576","2006-12-18","2008-09-25","9406 Cullen Boulevard, Suite M9b","Houston","Harris","TX","77051","29.655000000000001","-95.355459999999994","6232","7357","7911","8047","8514","9355","11453"
"2921","JPMorgan Chase Bank","0","Saugus Branch","6580","2006-12-18","2008-09-25","26500 Bouquet Canyon Road","Saugus","Los Angeles","CA","91350","34.42745","-118.53682999999999","24479","30108","34101","39472","45065","49079","73227"
"2922","JPMorgan Chase Bank","0","W Ashlan Ave Branch","6581","2006-12-18","2008-09-25","386 West Ashlan Avenue, Suite A","Clovis","Fresno","CA","93612","36.793840000000003","-119.71481","7222","8888","9941","12656","15591","16452","20200"
"2923","JPMorgan Chase Bank","0","Flamingo and I 215 Branch","6582","2006-12-18","2008-09-25","4125 S Grand Canyon D","Las Vegas","Clark","NV","89147","36.114930000000001","-115.30394","13524","18337","34198","49851","52359","66111","79073"
"2924","JPMorgan Chase Bank","0","Golden Rod Branch","6587","2007-01-08","2008-09-25","7336 Curry Ford Road","Orlando","Orange","FL","32822","28.51474","-81.288340000000005","14172","17448","26120","26891","25507","28176","30911"
"2925","JPMorgan Chase Bank","0","Rancho Mirage Branch","6588","2007-01-24","2008-09-25","36101 Bobhope Drive, Suite G-1","Rancho Mirage","Riverside","CA","92270","33.78622","-116.40606","37322","46279","62511","69608","81931","87278","106176"
"2926","JPMorgan Chase Bank","0","Chamblee Branch","6592","2007-04-02","2008-09-25","1841 Chamblee Tucker Road, Suite 1-2","Chamblee","DeKalb","GA","30341","33.889490000000002","-84.310289999999995","13559","13450","18043","19028","22416","25138","28075"
"2927","JPMorgan Chase Bank","0","Spencer and Shaver Branch","6593","2007-04-09","2008-09-25","2929 Shaver Street","Pasadena","Harris","TX","77502","29.666740000000001","-95.207809999999995","9785","10848","13359","15509","17134","21996","20443"
"2928","JPMorgan Chase Bank","0","Oceanside Branch","6594","2007-04-23","2008-09-25","4147 Oceanside Boulevard","Oceanside","San Diego","CA","92056","33.206319999999998","-117.28778","22279","27010","28875","33647","36475","43879","55256"
"2929","JPMorgan Chase Bank","0","Antoine and Tidwell Branch","6595","2007-05-07","2008-09-25","5840 Antoine Drive","Houston","Harris","TX","77091","29.849799999999998","-95.473169999999996","5009","6553","7514","8755","10186","11043","11774"
"2930","JPMorgan Chase Bank","0","Osceola Square Branch","6596","2007-05-14","2008-09-25","3711 West Vine Street","Kissimmee","Osceola","FL","34741","28.30461","-81.440439999999995","12736","17879","26379","33166","41192","44419","45501"
"2931","JPMorgan Chase Bank","0","Dongan Hills Branch","6598","2007-05-21","2008-09-25","1690 Hylan Boulevard","Staten Island","Richmond","NY","10305","40.587600000000002","-74.090969999999999","14669","17130","23333","32758","38627","44467","52258"
"2932","JPMorgan Chase Bank","0","Emeryville Branch","6599","2007-05-21","2008-09-25","5747 Christie Avenue","Emeryville","Alameda","CA","94608","37.837249999999997","-122.29428","16773","25108","37989","37362","87577","70129","66165"
"2933","JPMorgan Chase Bank","0","Stony Point Rd Branch","6600","2007-06-11","2008-09-25","760 Stony Point Road","Santa Rosa","Sonoma","CA","95407","38.427669999999999","-122.74142000000001","8864","11626","16160","17563","21268","41759","48014"
"2934","JPMorgan Chase Bank","0","West Country Club Branch","6601","2007-06-25","2008-09-25","18600 Northwest 87th Avenue, Suite 2","Hialeah","Miami-Dade","FL","33015","25.944019999999998","-80.342439999999996","15568","19288","26025","30667","36633","36190","41646"
"2935","JPMorgan Chase Bank","0","Sunnyvale Branch","6602","2007-06-25","2008-09-25","1234 West El Camino Real","Sunnyvale","Santa Clara","CA","94087","37.373899999999999","-122.05678","30684","35192","46263","65787","68493","81008","99127"
"2936","JPMorgan Chase Bank","0","Doral Plaza Branch","6603","2007-07-01","2008-09-25","9785 Northwest 41st Street","Miami","Miami-Dade","FL","33178","25.811720000000001","-80.355729999999994","40019","65965","109738","124948","138792","153694","155527"
"2937","JPMorgan Chase Bank","0","Coleman Ave Branch","6604","2007-07-01","2008-09-25","595 Coleman Avenue, Suite 10","San Jose","Santa Clara","CA","95110","37.340960000000003","-121.90828999999999","25079","30552","36076","44582","50603","57543","69509"
"2938","JPMorgan Chase Bank","0","Piazza Carmel Branch","6613","2007-07-01","2008-09-25","3830 Valley Centre Drive, Suite 707","San Diego","San Diego","CA","92130","32.938049999999997","-117.23018","24206","32313","40292","50718","61889","94867","111180"
"2939","JPMorgan Chase Bank","0","Oak Creek Irvine Branch","6614","2007-07-01","2008-09-25","5665 Alton Parkway","Irvine","Orange","CA","92618","33.668619999999997","-117.78655000000001","18234","23012","28971","33826","42840","57245","56856"
"2940","JPMorgan Chase Bank","0","Riverside Branch","6615","2007-07-01","2008-09-25","1299 University Avenue, Suite 105","Riverside","Riverside","CA","92507","33.975740000000002","-117.33936","13703","16690","20461","25663","28927","34572","45145"
"2941","JPMorgan Chase Bank","0","Coit and 121 Branch","6616","2007-07-01","2008-09-25","3720 State Highway 121","Plano","Collin","TX","75025","33.112000000000002","-96.766869999999997","13625","16383","19005","25776","36922","47243","61277"
"2942","JPMorgan Chase Bank","0","Dana Point Branch","6618","2007-07-09","2008-09-25","5 Manarch Bay Plaza","Dana Point","Orange","CA","92629","33.477220000000003","-117.70499","32528","37297","53534","58222","71845","84182","231447"
"2943","JPMorgan Chase Bank","0","East Islip Branch","6619","2007-07-09","2008-09-25","2650 Sunrise Highway, Unit 6","East Islip","Suffolk","NY","11730","40.742460000000001","-73.200760000000002","14438","18972","22247","25796","28365","31993","37466"
"2944","JPMorgan Chase Bank","0","Cosumnes River Branch","6620","2007-07-23","2008-09-25","7301 West Stockton Boulevard","Sacramento","Sacramento","CA","95823","38.492130000000003","-121.4272","10798","14980","16611","18881","22127","24767","29420"
"2945","JPMorgan Chase Bank","0","Mall At 163rd Branch","6622","2007-08-01","2008-09-25","1201 Northeast 163rd Street","North Miami Beach","Miami-Dade","FL","33162","25.928879999999999","-80.178449999999998","19498","25308","32320","38505","40730","41198","48755"
"2946","JPMorgan Chase Bank","0","Manor Road Branch","6623","2007-08-06","2008-09-25","754 Manor Road","Staten Island","Richmond","NY","10314","40.608559999999997","-74.121189999999999","14527","21735","26574","39061","46165","49169","61507"
"2947","JPMorgan Chase Bank","0","Hillsdale Branch","6624","2007-09-01","2008-09-25","3590 South El Camino Real","San Mateo","San Mateo","CA","94403","37.535380000000004","-122.29586","23959","30350","44429","52009","51064","76034","77620"
"2948","JPMorgan Chase Bank","0","Falcon Ridge Branch","6626","2007-09-07","2008-09-25","15320 Summit Avenue","Fontana","San Bernardino","CA","92336","34.15052","-117.47077","16692","23382","31805","37866","44078","48193","59766"
"2949","JPMorgan Chase Bank","0","Beltway 8 and Fort Bend Branch","6627","2007-09-10","2008-09-25","7414 South Sam Houston Parkway West","Houston","Harris","TX","77085","29.61486","-95.495459999999994","5345","7621","11662","13340","17551","19395","22269"
"2950","JPMorgan Chase Bank","0","Seaside Branch","6631","2007-10-15","2008-09-25","800 Broadway Avenue, Suite A-2","Seaside","Monterey","CA","93955","36.609250000000003","-121.84717999999999","16829","18976","27059","34512","34844","37842","42170"
"2951","JPMorgan Chase Bank","0","River Oaks Branch","6633","2007-10-29","2008-09-25","690 River Oaks Parkway, Suite A","San Jose","Santa Clara","CA","95134","37.397660000000002","-121.92373000000001","31423","42496","60248","71445","90734","116705","157292"
"2952","JPMorgan Chase Bank","0","West 207th Branch","6634","2007-11-05","2008-09-25","570 West 207th Street","New York City","New York","NY","10034","40.866439999999997","-73.920490000000001","17878","19406","23184","24767","27415","29209","33251"
"2953","JPMorgan Chase Bank","0","Stadium Corners Branch","6638","2007-11-13","2008-09-25","19870 NW 27th Avenue","Miami Gardens","Miami-Dade","FL","33056","25.95506","-80.246129999999994","7492","9471","11363","12831","15691","18884","21834"
"2954","JPMorgan Chase Bank","0","Bay Meadows Branch","6639","2007-11-13","2008-09-25","7301 Bay Meadows Way","Jacksonville","Duval","FL","32256","30.240159999999999","-81.587909999999994","7002","12295","20457","29320","31990","34889","36743"
"2955","JPMorgan Chase Bank","0","Cerritos Lincoln Station Branch","6640","2007-11-19","2008-09-25","11900 South Street","Cerritos","Los Angeles","CA","90703","33.85848","-118.07925","18222","26805","39751","46123","50490","57819","69770"
"2956","JPMorgan Chase Bank","0","Geer Road Branch","6642","2007-11-19","2008-09-25","2091 Geer Road","Turlock","Stanislaus","CA","95382","37.511760000000002","-120.84903","18381","23228","27129","29520","33226","44873","50553"
"2957","JPMorgan Chase Bank","0","Sutphin Boulevard Branch","6645","2007-11-30","2008-09-25","9059 Sutphin Boulevard","Jamaica","Queens","NY","11435","40.701709999999999","-73.80789","16420","19136","21613","24240","27793","33506","41247"
"2958","JPMorgan Chase Bank","0","West San Marcos Branch","6646","2007-12-03","2008-09-25","1921 West San Marcos Street, Suite 170","San Marcos","San Diego","CA","92078","33.13212","-117.21025","22316","26775","25928","28960","31038","38757","45660"
"2959","JPMorgan Chase Bank","0","Sylvan Corners Branch","6649","2007-12-03","2008-09-25","7084 Auburn Boulevard, Suite 100","Citrus Heights","Sacramento","CA","95621","38.693199999999997","-121.29430000000001","15040","18566","18755","20575","23443","24969","25574"
"2960","JPMorgan Chase Bank","0","Yuba City Branch","6650","2007-12-03","2008-09-25","1054 Harter Road, Suite 1","Yuba City","Sutter","CA","95993","39.142319999999998","-121.65552","24607","30893","34358","37009","46090","51969","68179"
"2961","JPMorgan Chase Bank","0","East Kings Canyon Branch","6653","2007-12-17","2008-09-25","4848 East Kings Canyon Road, Suite 10","Fresno","Fresno","CA","93727","36.735819999999997","-119.7341","7234","8445","10292","12461","14596","16345","20747"
"2962","JPMorgan Chase Bank","0","Forest and Greenville Branch","6654","2007-12-17","2008-09-25","9049 Forest Lane","Dallas","Dallas","TX","75243","32.909219999999998","-96.747209999999995","11897","14487","17804","21382","23270","29503","32007"
"2963","JPMorgan Chase Bank","0","Kraemer Branch","6659","2007-12-17","2008-09-25","2500 East Imperial Highway, Suite 194","Brea","Orange","CA","92821","33.910899999999998","-117.86375","20569","26188","35497","34187","43359","54661","69586"
"2964","JPMorgan Chase Bank","0","Calvine Branch","6660","2007-12-17","2008-09-25","8451 Elk Grove Florin Road","Elk Grove","Sacramento","CA","95624","38.45008","-121.37154","20400","25886","31134","33608","37433","44458","52671"
"2965","JPMorgan Chase Bank","0","Tully Road Branch","6662","2007-12-17","2008-09-25","3430 Tully Road, Suite 10","Modesto","Stanislaus","CA","95350","37.688360000000003","-121.0125","9169","12046","13947","15781","16790","19156","21507"
"2966","JPMorgan Chase Bank","0","Wilshire and Vermont Branch","6664","2007-12-17","2008-09-25","3183 Wilshire Boulevard, Suite 199","Los Angeles","Los Angeles","CA","90005","34.06185","-118.29125000000001","11529","16242","23702","33359","34955","41421","46634"
"2967","JPMorgan Chase Bank","0","Ross and Prairie Branch","6665","2007-12-17","2008-09-25","4709 Ross Avenue","Dallas","Dallas","TX","75204","32.805509999999998","-96.777109999999993","5625","7371","11856","14619","16230","20158","26758"
"2968","JPMorgan Chase Bank","0","Antioch Hillcrest Branch","6666","2007-12-17","2008-09-25","3457 Deer Valley Road","Antioch","Contra Costa","CA","94531","37.987279999999998","-121.78563","9202","10916","14416","15662","19280","24139","29946"
