"RowNumber","Institution Name","Main Office","Branch Name","Branch Number","Established Date","Acquired Date","Street Address","City","County","State","Zipcode","Latitude","Longitude","2010 Deposits","2011 Deposits","2012 Deposits","2013 Deposits","2014 Deposits","2015 Deposits","2016 Deposits"
"930","JPMorgan Chase Bank","0","Greenvale Branch","3946","1971-12-27","2006-10-01","57 Northern Boulevard","Greenvale","Nassau","NY","11548","40.811309999999999","-73.622969999999995","278428","306622","338917","365918","354640","373723","390111"
"931","JPMorgan Chase Bank","0","Broadway and 61st Branch","3947","1992-06-30","2006-10-01","1860 Broadway","New York City","New York","NY","10023","40.76972","-73.981930000000006","483931","470615","562078","579594","602812","623126","646175"
"932","JPMorgan Chase Bank","0","Barclay St Branch","3948","1992-06-30","2006-10-01","101 Barclay Street","New York City","New York","NY","10007","40.713709999999999","-74.011679999999998","140982","165248","201462","242800","270276","302468","333867"
"933","JPMorgan Chase Bank","0","Haverstraw 9w Branch","3949","1992-06-30","2006-10-01","250 Route 9 West","Haverstraw","Rockland","NY","10927","41.191989999999997","-73.965819999999994","34954","39015","40592","43750","43920","48833","52675"
"934","JPMorgan Chase Bank","0","Kingston Plaza Branch","3950","1964-10-15","2006-10-01","256 Plaza Road","Kingston","Ulster","NY","12401","41.936689999999999","-74.017039999999994","28799","28668","33001","38965","49302","51878","83533"
"935","JPMorgan Chase Bank","0","New Paltz Branch","3951","1961-01-03","2006-10-01","2 Plattekill Avenue","New Paltz","Ulster","NY","12561","41.747889999999998","-74.084999999999994","24542","29715","35300","41253","43562","51512","53746"
"936","JPMorgan Chase Bank","0","New Windsor Branch","3952","1970-01-05","2006-10-01","353 Windsor Highway","New Windsor","Orange","NY","12553","41.461190000000002","-74.053169999999994","22324","28891","34343","43888","46044","46847","44439"
"937","JPMorgan Chase Bank","0","Pleasant Valley Branch","3953","1972-08-14","2006-10-01","1600 Main Street, Suite 14","Pleasant Valley","Dutchess","NY","12569","41.744140000000002","-73.824550000000002","20495","24227","27390","31711","35538","41757","49607"
"938","JPMorgan Chase Bank","0","New City South Main Branch","3954","1965-02-20","2006-10-01","316 South Main Street","New City","Rockland","NY","10956","41.13646","-73.990949999999998","43359","47774","57635","70604","79827","85559","98327"
"939","JPMorgan Chase Bank","0","Sparkill Branch","3955","1957-06-24","2006-10-01","637 Main Street","Sparkill","Rockland","NY","10976","41.029649999999997","-73.928489999999996","25350","48406","50950","52909","56096","63837","67410"
"940","JPMorgan Chase Bank","0","New Rochelle Main St Branch","3958","1934-01-20","2006-10-01","491 Main Street","New Rochelle","Westchester","NY","10801","40.909109999999998","-73.781229999999994","64850","65270","70497","73570","72247","74100","86433"
"941","JPMorgan Chase Bank","0","Briarcliff Manor Branch","3959","1934-01-20","2006-10-01","1100 Pleasantville Road","Briarcliff Manor","Westchester","NY","10510","41.149479999999997","-73.829689999999999","39939","38775","46201","52024","58217","60769","78745"
"942","JPMorgan Chase Bank","0","Bronxville Branch","3960","1952-01-14","2006-10-01","132 Parkway Road","Bronxville","Westchester","NY","10708","40.941000000000003","-73.83569","114987","121855","141091","171304","179721","194548","210105"
"943","JPMorgan Chase Bank","0","Chester Heights Branch","3961","1956-10-19","2006-10-01","493 New Rochelle Road","Bronxville","Westchester","NY","10708","40.928870000000003","-73.808989999999994","19521","19361","23510","24817","28103","34412","33040"
"944","JPMorgan Chase Bank","0","Forest Hills Branch","3964","1975-10-01","2006-10-01","100-26 Queens Boulevard","Forest Hills","Queens","NY","11375","40.726669999999999","-73.853629999999995","31712","40254","47903","58249","64463","68197","85929"
"945","JPMorgan Chase Bank","0","Bayside Bell Branch","3967","1953-02-02","2006-10-01","41-22 Bell Boulevard","Bayside","Queens","NY","11361","40.763039999999997","-73.770759999999996","162846","156746","167858","234211","257301","264487","298881"
"946","JPMorgan Chase Bank","0","Flushing Main St Branch","3969","1950-12-18","2006-10-01","36-63 Main Street","Flushing","Queens","NY","11354","40.761650000000003","-73.831180000000003","58427","72940","107880","131453","147631","169942","216734"
"947","JPMorgan Chase Bank","0","East Elmhurst and 31st Ave Branch","3971","1963-05-25","2006-10-01","77-01 31st Avenue","East Elmhurst","Queens","NY","11370","40.758800000000001","-73.890659999999997","41046","46975","61240","69882","78920","87836","103300"
"948","JPMorgan Chase Bank","0","Van Wyck Branch","3972","1956-02-06","2006-10-01","138-02 Queens Boulevard","Jamaica","Queens","NY","11435","40.708300000000001","-73.81823","30031","31656","38760","43618","48616","53809","61869"
"949","JPMorgan Chase Bank","0","Woodmere Branch","3976","1967-09-16","2006-10-01","1000 Railroad Avenue","Woodmere","Nassau","NY","11598","40.633620000000001","-73.710629999999995","23954","23671","29386","36557","39776","45025","53914"
